Test File,Rules,Lits,Run,Report,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
synth_L008_r000500.in,500,4000,1,cuda_gpu_kern_sum,100.0,50975,1,50975.0,50975.0,50975,50975,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
synth_L008_r000500.in,500,4000,2,wall,100.0,506229853,1,,,,,,total
synth_L008_r000500.in,500,4000,2,nvtx_pushpop_sum,100.0,208058,1,208058.0,208058.0,208058,208058,0.0,:fixpoint
synth_L008_r000500.in,500,4000,2,nvtx_sum,100.0,208058,1,208058.0,208058.0,208058,208058,0.0,PushPop,:fixpoint
synth_L008_r000500.in,500,4000,2,cuda_gpu_kern_sum,100.0,50303,1,50303.0,50303.0,50303,50303,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
synth_L008_r000500.in,500,4000,3,wall,100.0,509082394,1,,,,,,total
synth_L008_r000500.in,500,4000,3,nvtx_pushpop_sum,100.0,284444,1,284444.0,284444.0,284444,284444,0.0,:fixpoint
synth_L008_r000500.in,500,4000,3,nvtx_sum,100.0,284444,1,284444.0,284444.0,284444,284444,0.0,PushPop,:fixpoint
synth_L008_r000500.in,500,4000,3,cuda_gpu_kern_sum,100.0,50623,1,50623.0,50623.0,50623,50623,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
synth_L008_r001000.in,1000,8000,1,wall,100.0,433595107,1,,,,,,total
synth_L008_r001000.in,1000,8000,1,nvtx_pushpop_sum,100.0,301076,1,301076.0,301076.0,301076,301076,0.0,:fixpoint
synth_L008_r001000.in,1000,8000,1,nvtx_sum,100.0,301076,1,301076.0,301076.0,301076,301076,0.0,PushPop,:fixpoint
synth_L008_r001000.in,1000,8000,1,cuda_gpu_kern_sum,100.0,64255,1,64255.0,64255.0,64255,64255,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
synth_L008_r001000.in,1000,8000,2,wall,100.0,433887317,1,,,,,,total
synth_L008_r001000.in,1000,8000,2,nvtx_pushpop_sum,100.0,199665,1,199665.0,199665.0,199665,199665,0.0,:fixpoint
synth_L008_r001000.in,1000,8000,2,nvtx_sum,100.0,199665,1,199665.0,199665.0,199665,199665,0.0,PushPop,:fixpoint
synth_L008_r001000.in,1000,8000,2,cuda_gpu_kern_sum,100.0,44351,1,44351.0,44351.0,44351,44351,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
synth_L008_r001000.in,1000,8000,3,wall,100.0,499606761,1,,,,,,total
synth_L008_r001000.in,1000,8000,3,nvtx_pushpop_sum,100.0,235187,1,235187.0,235187.0,235187,235187,0.0,:fixpoint
synth_L008_r001000.in,1000,8000,3,nvtx_sum,100.0,235187,1,235187.0,235187.0,235187,235187,0.0,PushPop,:fixpoint
synth_L008_r001000.in,1000,8000,3,cuda_gpu_kern_sum,100.0,45503,1,45503.0,45503.0,45503,45503,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
synth_L008_r002000.in,2000,16000,1,wall,100.0,426980813,1,,,,,,total
synth_L008_r002000.in,2000,16000,1,nvtx_pushpop_sum,100.0,232622,1,232622.0,232622.0,232622,232622,0.0,:fixpoint
synth_L008_r002000.in,2000,16000,1,nvtx_sum,100.0,232622,1,232622.0,232622.0,232622,232622,0.0,PushPop,:fixpoint
synth_L008_r002000.in,2000,16000,1,cuda_gpu_kern_sum,100.0,72767,1,72767.0,72767.0,72767,72767,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
synth_L008_r002000.in,2000,16000,2,wall,100.0,510736538,1,,,,,,total
synth_L008_r002000.in,2000,16000,2,nvtx_pushpop_sum,100.0,239009,1,239009.0,239009.0,239009,239009,0.0,:fixpoint
synth_L008_r002000.in,2000,16000,2,nvtx_sum,100.0,239009,1,239009.0,239009.0,239009,239009,0.0,PushPop,:fixpoint
synth_L008_r002000.in,2000,16000,2,cuda_gpu_kern_sum,100.0,75455,1,75455.0,75455.0,75455,75455,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
synth_L008_r002000.in,2000,16000,3,wall,100.0,500948919,1,,,,,,total
synth_L008_r002000.in,2000,16000,3,nvtx_pushpop_sum,100.0,231850,1,231850.0,231850.0,231850,231850,0.0,:fixpoint
synth_L008_r002000.in,2000,16000,3,nvtx_sum,100.0,231850,1,231850.0,231850.0,231850,231850,0.0,PushPop,:fixpoint
synth_L008_r002000.in,2000,16000,3,cuda_gpu_kern_sum,100.0,73184,1,73184.0,73184.0,73184,73184,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
synth_L008_r004000.in,4000,32000,1,wall,100.0,434225675,1,,,,,,total
synth_L008_r004000.in,4000,32000,1,nvtx_pushpop_sum,100.0,379514,1,379514.0,379514.0,379514,379514,0.0,:fixpoint
synth_L008_r004000.in,4000,32000,1,nvtx_sum,100.0,379514,1,379514.0,379514.0,379514,379514,0.0,PushPop,:fixpoint
synth_L008_r004000.in,4000,32000,1,cuda_gpu_kern_sum,100.0,139358,1,139358.0,139358.0,139358,139358,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
