Test File,Rules,Lits,Run,Report,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
sudoku_25x25.in,5000,125000,3,cuda_gpu_kern_sum,74.8,131871,1,131871.0,131871.0,131871,131871,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_25x25.in,5000,125000,3,cuda_gpu_kern_sum,25.2,44480,1,44480.0,44480.0,44480,44480,0.0,"init_sums_kernel(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9.in,648,5832,1,wall,100.0,428260638,1,,,,,,total
sudoku_9x9.in,648,5832,1,nvtx_pushpop_sum,84.0,314535,1,314535.0,314535.0,314535,314535,0.0,:fixpoint
sudoku_9x9.in,648,5832,1,nvtx_pushpop_sum,16.0,59851,1,59851.0,59851.0,59851,59851,0.0,:build_reverse_tables
sudoku_9x9.in,648,5832,1,nvtx_sum,84.0,314535,1,314535.0,314535.0,314535,314535,0.0,PushPop,:fixpoint
sudoku_9x9.in,648,5832,1,nvtx_sum,16.0,59851,1,59851.0,59851.0,59851,59851,0.0,PushPop,:build_reverse_tables
sudoku_9x9.in,648,5832,1,cuda_gpu_kern_sum,92.7,104159,1,104159.0,104159.0,104159,104159,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_9x9.in,648,5832,1,cuda_gpu_kern_sum,7.3,8224,1,8224.0,8224.0,8224,8224,0.0,"init_sums_kernel(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9.in,648,5832,2,wall,100.0,505365370,1,,,,,,total
sudoku_9x9.in,648,5832,2,nvtx_pushpop_sum,83.6,303988,1,303988.0,303988.0,303988,303988,0.0,:fixpoint
sudoku_9x9.in,648,5832,2,nvtx_pushpop_sum,16.4,59481,1,59481.0,59481.0,59481,59481,0.0,:build_reverse_tables
