Test File,Rules,Lits,Run,Report,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
sudoku_25x25.in,5000,125000,2,cuda_gpu_kern_sum,27.9,44383,1,44383.0,44383.0,44383,44383,0.0,"init_sums_kernel(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_25x25.in,5000,125000,2,cuda_gpu_kern_sum,11.7,18560,3,6186.7,2944.0,2912,12704,5644.2,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_25x25.in,5000,125000,3,wall,100.0,538097092,1,,,,,,total
sudoku_25x25.in,5000,125000,3,nvtx_pushpop_sum,73.7,1497037,1,1497037.0,1497037.0,1497037,1497037,0.0,:build_reverse_tables
sudoku_25x25.in,5000,125000,3,nvtx_pushpop_sum,26.3,533719,1,533719.0,533719.0,533719,533719,0.0,:fixpoint
sudoku_25x25.in,5000,125000,3,nvtx_sum,73.7,1497037,1,1497037.0,1497037.0,1497037,1497037,0.0,PushPop,:build_reverse_tables
sudoku_25x25.in,5000,125000,3,nvtx_sum,26.3,533719,1,533719.0,533719.0,533719,533719,0.0,PushPop,:fixpoint
sudoku_25x25.in,5000,125000,3,cuda_gpu_kern_sum,60.3,96128,4,24032.0,24176.0,13792,33984,11136.2,"deduce_kernel(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_25x25.in,5000,125000,3,cuda_gpu_kern_sum,27.9,44512,1,44512.0,44512.0,44512,44512,0.0,"init_sums_kernel(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_25x25.in,5000,125000,3,cuda_gpu_kern_sum,11.8,18815,3,6271.7,2944.0,2944,12927,5763.7,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_9x9.in,648,5832,1,wall,100.0,427978825,1,,,,,,total
sudoku_9x9.in,648,5832,1,nvtx_pushpop_sum,89.2,655738,1,655738.0,655738.0,655738,655738,0.0,:fixpoint
sudoku_9x9.in,648,5832,1,nvtx_pushpop_sum,10.8,79552,1,79552.0,79552.0,79552,79552,0.0,:build_reverse_tables
sudoku_9x9.in,648,5832,1,nvtx_sum,89.2,655738,1,655738.0,655738.0,655738,655738,0.0,PushPop,:fixpoint
sudoku_9x9.in,648,5832,1,nvtx_sum,10.8,79552,1,79552.0,79552.0,79552,79552,0.0,PushPop,:build_reverse_tables
sudoku_9x9.in,648,5832,1,cuda_gpu_kern_sum,56.6,48159,10,4815.9,4352.0,3808,7168,1158.3,"deduce_kernel(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_9x9.in,648,5832,1,cuda_gpu_kern_sum,33.5,28511,9,3167.9,2784.0,2752,6048,1082.4,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_9x9.in,648,5832,1,cuda_gpu_kern_sum,9.8,8352,1,8352.0,8352.0,8352,8352,0.0,"init_sums_kernel(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9.in,648,5832,2,wall,100.0,430382304,1,,,,,,total
sudoku_9x9.in,648,5832,2,nvtx_pushpop_sum,89.5,650534,1,650534.0,650534.0,650534,650534,0.0,:fixpoint
sudoku_9x9.in,648,5832,2,nvtx_pushpop_sum,10.5,76019,1,76019.0,76019.0,76019,76019,0.0,:build_reverse_tables
sudoku_9x9.in,648,5832,2,nvtx_sum,89.5,650534,1,650534.0,650534.0,650534,650534,0.0,PushPop,:fixpoint
sudoku_9x9.in,648,5832,2,nvtx_sum,10.5,76019,1,76019.0,76019.0,76019,76019,0.0,PushPop,:build_reverse_tables
sudoku_9x9.in,648,5832,2,cuda_gpu_kern_sum,57.0,48223,10,4822.3,4384.0,3872,7008,1097.9,"deduce_kernel(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_9x9.in,648,5832,2,cuda_gpu_kern_sum,33.2,28096,9,3121.8,2816.0,2720,5664,955.7,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_9x9.in,648,5832,2,cuda_gpu_kern_sum,9.8,8256,1,8256.0,8256.0,8256,8256,0.0,"init_sums_kernel(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9.in,648,5832,3,wall,100.0,509511291,1,,,,,,total
sudoku_9x9.in,648,5832,3,nvtx_pushpop_sum,91.6,648564,1,648564.0,648564.0,648564,648564,0.0,:fixpoint
sudoku_9x9.in,648,5832,3,nvtx_pushpop_sum,8.4,59568,1,59568.0,59568.0,59568,59568,0.0,:build_reverse_tables
sudoku_9x9.in,648,5832,3,nvtx_sum,91.6,648564,1,648564.0,648564.0,648564,648564,0.0,PushPop,:fixpoint
sudoku_9x9.in,648,5832,3,nvtx_sum,8.4,59568,1,59568.0,59568.0,59568,59568,0.0,PushPop,:build_reverse_tables
sudoku_9x9.in,648,5832,3,cuda_gpu_kern_sum,56.7,48192,10,4819.2,4384.0,3872,7264,1148.4,"deduce_kernel(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_9x9.in,648,5832,3,cuda_gpu_kern_sum,33.5,28448,9,3160.9,2816.0,2720,5984,1061.1,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_9x9.in,648,5832,3,cuda_gpu_kern_sum,9.8,8320,1,8320.0,8320.0,8320,8320,0.0,"init_sums_kernel(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
synth_L008_r000500.in,500,4000,1,wall,100.0,431738189,1,,,,,,total
synth_L008_r000500.in,500,4000,1,nvtx_pushpop_sum,87.6,434734,1,434734.0,434734.0,434734,434734,0.0,:fixpoint
synth_L008_r000500.in,500,4000,1,nvtx_pushpop_sum,12.4,61710,1,61710.0,61710.0,61710,61710,0.0,:build_reverse_tables
synth_L008_r000500.in,500,4000,1,nvtx_sum,87.6,434734,1,434734.0,434734.0,434734,434734,0.0,PushPop,:fixpoint
synth_L008_r000500.in,500,4000,1,nvtx_sum,12.4,61710,1,61710.0,61710.0,61710,61710,0.0,PushPop,:build_reverse_tables
synth_L008_r000500.in,500,4000,1,cuda_gpu_kern_sum,50.7,20544,5,4108.8,3840.0,3744,5120,578.9,"deduce_kernel(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
synth_L008_r000500.in,500,4000,1,cuda_gpu_kern_sum,34.8,14080,4,3520.0,3824.0,2400,4032,758.6,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
synth_L008_r000500.in,500,4000,1,cuda_gpu_kern_sum,14.5,5888,1,5888.0,5888.0,5888,5888,0.0,"init_sums_kernel(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
synth_L008_r000500.in,500,4000,2,wall,100.0,493311645,1,,,,,,total
synth_L008_r000500.in,500,4000,2,nvtx_pushpop_sum,90.2,449272,1,449272.0,449272.0,449272,449272,0.0,:fixpoint
synth_L008_r000500.in,500,4000,2,nvtx_pushpop_sum,9.8,48825,1,48825.0,48825.0,48825,48825,0.0,:build_reverse_tables
synth_L008_r000500.in,500,4000,2,nvtx_sum,90.2,449272,1,449272.0,449272.0,449272,449272,0.0,PushPop,:fixpoint
synth_L008_r000500.in,500,4000,2,nvtx_sum,9.8,48825,1,48825.0,48825.0,48825,48825,0.0,PushPop,:build_reverse_tables
synth_L008_r000500.in,500,4000,2,cuda_gpu_kern_sum,51.1,21248,5,4249.6,3968.0,3872,5280,592.4,"deduce_kernel(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
synth_L008_r000500.in,500,4000,2,cuda_gpu_kern_sum,34.4,14304,4,3576.0,3904.0,2432,4064,773.5,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
synth_L008_r000500.in,500,4000,2,cuda_gpu_kern_sum,14.5,6048,1,6048.0,6048.0,6048,6048,0.0,"init_sums_kernel(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
synth_L008_r000500.in,500,4000,3,wall,100.0,502915685,1,,,,,,total
synth_L008_r000500.in,500,4000,3,nvtx_pushpop_sum,82.9,437626,1,437626.0,437626.0,437626,437626,0.0,:fixpoint
