Test File,Rules,Lits,Run,Report,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
sudoku_25x25.in,5000,125000,2,cuda_gpu_kern_sum,41.6,24319,3,8106.3,2943.0,2912,18464,8970.0,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_25x25.in,5000,125000,2,cuda_gpu_kern_sum,9.6,5600,1,5600.0,5600.0,5600,5600,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_25x25.in,5000,125000,3,wall,100.0,536498757,1,,,,,,total
sudoku_25x25.in,5000,125000,3,nvtx_pushpop_sum,72.0,1533360,1,1533360.0,1533360.0,1533360,1533360,0.0,:build_reverse_tables
sudoku_25x25.in,5000,125000,3,nvtx_pushpop_sum,28.0,595385,1,595385.0,595385.0,595385,595385,0.0,:fixpoint
sudoku_25x25.in,5000,125000,3,nvtx_sum,72.0,1533360,1,1533360.0,1533360.0,1533360,1533360,0.0,PushPop,:build_reverse_tables
sudoku_25x25.in,5000,125000,3,nvtx_sum,28.0,595385,1,595385.0,595385.0,595385,595385,0.0,PushPop,:fixpoint
sudoku_25x25.in,5000,125000,3,cuda_gpu_kern_sum,48.9,28639,4,7159.8,6928.0,4256,10527,3135.1,"void deduce_kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_25x25.in,5000,125000,3,cuda_gpu_kern_sum,41.6,24352,3,8117.3,2944.0,2944,18464,8960.5,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_25x25.in,5000,125000,3,cuda_gpu_kern_sum,9.5,5568,1,5568.0,5568.0,5568,5568,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9.in,648,5832,1,wall,100.0,434499820,1,,,,,,total
sudoku_9x9.in,648,5832,1,nvtx_pushpop_sum,92.9,797801,1,797801.0,797801.0,797801,797801,0.0,:fixpoint
sudoku_9x9.in,648,5832,1,nvtx_pushpop_sum,7.1,61189,1,61189.0,61189.0,61189,61189,0.0,:build_reverse_tables
sudoku_9x9.in,648,5832,1,nvtx_sum,92.9,797801,1,797801.0,797801.0,797801,797801,0.0,PushPop,:fixpoint
sudoku_9x9.in,648,5832,1,nvtx_sum,7.1,61189,1,61189.0,61189.0,61189,61189,0.0,PushPop,:build_reverse_tables
sudoku_9x9.in,648,5832,1,cuda_gpu_kern_sum,52.5,35136,10,3513.6,3520.0,3008,4096,284.5,"void deduce_kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_9x9.in,648,5832,1,cuda_gpu_kern_sum,43.3,28992,9,3221.3,2816.0,2720,6464,1218.4,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_9x9.in,648,5832,1,cuda_gpu_kern_sum,4.2,2816,1,2816.0,2816.0,2816,2816,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9.in,648,5832,2,wall,100.0,505567488,1,,,,,,total
sudoku_9x9.in,648,5832,2,nvtx_pushpop_sum,90.9,773608,1,773608.0,773608.0,773608,773608,0.0,:fixpoint
sudoku_9x9.in,648,5832,2,nvtx_pushpop_sum,9.1,77159,1,77159.0,77159.0,77159,77159,0.0,:build_reverse_tables
sudoku_9x9.in,648,5832,2,nvtx_sum,90.9,773608,1,773608.0,773608.0,773608,773608,0.0,PushPop,:fixpoint
sudoku_9x9.in,648,5832,2,nvtx_sum,9.1,77159,1,77159.0,77159.0,77159,77159,0.0,PushPop,:build_reverse_tables
