Test File,Rules,Lits,Run,Report,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
synth_L008_r001000.in,1000,8000,1,cuda_gpu_kern_sum,100.0,37344,1,37344.0,37344.0,37344,37344,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int, int *, int *)"
synth_L008_r001000.in,1000,8000,2,wall,100.0,503647599,1,,,,,,total
synth_L008_r001000.in,1000,8000,2,nvtx_pushpop_sum,100.0,199686,1,199686.0,199686.0,199686,199686,0.0,:fixpoint
synth_L008_r001000.in,1000,8000,2,nvtx_sum,100.0,199686,1,199686.0,199686.0,199686,199686,0.0,PushPop,:fixpoint
synth_L008_r001000.in,1000,8000,2,cuda_gpu_kern_sum,100.0,39040,1,39040.0,39040.0,39040,39040,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int, int *, int *)"
synth_L008_r001000.in,1000,8000,3,wall,100.0,497201111,1,,,,,,total
synth_L008_r001000.in,1000,8000,3,nvtx_pushpop_sum,100.0,200031,1,200031.0,200031.0,200031,200031,0.0,:fixpoint
synth_L008_r001000.in,1000,8000,3,nvtx_sum,100.0,200031,1,200031.0,200031.0,200031,200031,0.0,PushPop,:fixpoint
synth_L008_r001000.in,1000,8000,3,cuda_gpu_kern_sum,100.0,39680,1,39680.0,39680.0,39680,39680,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int, int *, int *)"
synth_L008_r002000.in,2000,16000,1,wall,100.0,432177595,1,,,,,,total
synth_L008_r002000.in,2000,16000,1,nvtx_pushpop_sum,100.0,235073,1,235073.0,235073.0,235073,235073,0.0,:fixpoint
synth_L008_r002000.in,2000,16000,1,nvtx_sum,100.0,235073,1,235073.0,235073.0,235073,235073,0.0,PushPop,:fixpoint
synth_L008_r002000.in,2000,16000,1,cuda_gpu_kern_sum,100.0,71679,1,71679.0,71679.0,71679,71679,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int, int *, int *)"
synth_L008_r002000.in,2000,16000,2,wall,100.0,503592931,1,,,,,,total
synth_L008_r002000.in,2000,16000,2,nvtx_pushpop_sum,100.0,234264,1,234264.0,234264.0,234264,234264,0.0,:fixpoint
synth_L008_r002000.in,2000,16000,2,nvtx_sum,100.0,234264,1,234264.0,234264.0,234264,234264,0.0,PushPop,:fixpoint
synth_L008_r002000.in,2000,16000,2,cuda_gpu_kern_sum,100.0,73536,1,73536.0,73536.0,73536,73536,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int, int *, int *)"
synth_L008_r002000.in,2000,16000,3,wall,100.0,506617435,1,,,,,,total
synth_L008_r002000.in,2000,16000,3,nvtx_pushpop_sum,100.0,229847,1,229847.0,229847.0,229847,229847,0.0,:fixpoint
synth_L008_r002000.in,2000,16000,3,nvtx_sum,100.0,229847,1,229847.0,229847.0,229847,229847,0.0,PushPop,:fixpoint
synth_L008_r002000.in,2000,16000,3,cuda_gpu_kern_sum,100.0,72128,1,72128.0,72128.0,72128,72128,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int, int *, int *)"
synth_L200_r000500.in,500,100000,1,wall,100.0,455049469,1,,,,,,total
synth_L200_r000500.in,500,100000,1,nvtx_pushpop_sum,100.0,236025,1,236025.0,236025.0,236025,236025,0.0,:fixpoint
synth_L200_r000500.in,500,100000,1,nvtx_sum,100.0,236025,1,236025.0,236025.0,236025,236025,0.0,PushPop,:fixpoint
synth_L200_r000500.in,500,100000,1,cuda_gpu_kern_sum,100.0,57535,1,57535.0,57535.0,57535,57535,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int, int *, int *)"
synth_L200_r000500.in,500,100000,2,wall,100.0,522555780,1,,,,,,total
synth_L200_r000500.in,500,100000,2,nvtx_pushpop_sum,100.0,228026,1,228026.0,228026.0,228026,228026,0.0,:fixpoint
synth_L200_r000500.in,500,100000,2,nvtx_sum,100.0,228026,1,228026.0,228026.0,228026,228026,0.0,PushPop,:fixpoint
synth_L200_r000500.in,500,100000,2,cuda_gpu_kern_sum,100.0,60608,1,60608.0,60608.0,60608,60608,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int, int *, int *)"
synth_L200_r000500.in,500,100000,3,wall,100.0,529086396,1,,,,,,total
synth_L200_r000500.in,500,100000,3,nvtx_pushpop_sum,100.0,295180,1,295180.0,295180.0,295180,295180,0.0,:fixpoint
synth_L200_r000500.in,500,100000,3,nvtx_sum,100.0,295180,1,295180.0,295180.0,295180,295180,0.0,PushPop,:fixpoint
synth_L200_r000500.in,500,100000,3,cuda_gpu_kern_sum,100.0,55328,1,55328.0,55328.0,55328,55328,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int, int *, int *)"
synth_L200_r001000.in,1000,200000,1,wall,100.0,478777419,1,,,,,,total
synth_L200_r001000.in,1000,200000,1,nvtx_pushpop_sum,100.0,234604,1,234604.0,234604.0,234604,234604,0.0,:fixpoint
synth_L200_r001000.in,1000,200000,1,nvtx_sum,100.0,234604,1,234604.0,234604.0,234604,234604,0.0,PushPop,:fixpoint
synth_L200_r001000.in,1000,200000,1,cuda_gpu_kern_sum,100.0,67968,1,67968.0,67968.0,67968,67968,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int, int *, int *)"
synth_L200_r001000.in,1000,200000,2,wall,100.0,483475883,1,,,,,,total
synth_L200_r001000.in,1000,200000,2,nvtx_pushpop_sum,100.0,235243,1,235243.0,235243.0,235243,235243,0.0,:fixpoint
synth_L200_r001000.in,1000,200000,2,nvtx_sum,100.0,235243,1,235243.0,235243.0,235243,235243,0.0,PushPop,:fixpoint
synth_L200_r001000.in,1000,200000,2,cuda_gpu_kern_sum,100.0,68191,1,68191.0,68191.0,68191,68191,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int, int *, int *)"
synth_L200_r001000.in,1000,200000,3,wall,100.0,559753412,1,,,,,,total
synth_L200_r001000.in,1000,200000,3,nvtx_pushpop_sum,100.0,300465,1,300465.0,300465.0,300465,300465,0.0,:fixpoint
synth_L200_r001000.in,1000,200000,3,nvtx_sum,100.0,300465,1,300465.0,300465.0,300465,300465,0.0,PushPop,:fixpoint
synth_L200_r001000.in,1000,200000,3,cuda_gpu_kern_sum,100.0,68799,1,68799.0,68799.0,68799,68799,0.0,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int, int *, int *)"
