Test File,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
sudoku_9x9_4.in,100.0,26400,7,3771.4,3648.0,3552,4288,274.9,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_4.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_4.in,0.003,15,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_4.in,0.000,8,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_4.in,99.6,158144703,8,19768087.9,3699.5,2551,158119293,55902328.8,cudaMalloc
sudoku_9x9_4.in,0.1,223410,7,31915.7,4380.0,3829,194292,71609.6,cudaLaunchKernel
sudoku_9x9_4.in,0.1,216052,21,10288.2,8698.0,4422,28271,6105.7,cudaMemcpy
sudoku_9x9_4.in,0.1,119370,8,14921.3,2549.0,1942,98561,33824.7,cudaFree
sudoku_9x9_4.in,0.0,47337,1,47337.0,47337.0,47337,47337,0.0,cuLibraryLoadData
sudoku_9x9_4.in,0.0,45202,7,6457.4,5806.0,5498,10726,1888.9,cudaDeviceSynchronize
sudoku_9x9_4.in,0.0,27327,8,3415.9,2671.0,2489,7650,1767.7,cudaMemset
sudoku_9x9_4.in,0.0,3718,1,3718.0,3718.0,3718,3718,0.0,cuModuleGetLoadingMode
sudoku_9x9_4.in,0.0,1407,7,201.0,100.0,97,504,164.1,cuKernelGetName
sudoku_9x9_4.in,0.0,480,1,480.0,480.0,480,480,0.0,cuLibraryGetKernel
sudoku_9x9_5.in,100.0,43968,12,3664.0,3616.0,3424,4256,208.9,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_5.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_5.in,0.003,25,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_5.in,0.000,13,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_5.in,99.5,163397906,8,20424738.3,3589.5,2710,163372898,57759778.9,cudaMalloc
sudoku_9x9_5.in,0.2,299904,31,9674.3,8692.0,4341,26991,4748.9,cudaMemcpy
sudoku_9x9_5.in,0.2,246571,12,20547.6,4307.5,3698,198010,55891.9,cudaLaunchKernel
sudoku_9x9_5.in,0.1,114990,8,14373.8,2607.0,1943,94099,32240.2,cudaFree
sudoku_9x9_5.in,0.0,73340,12,6111.7,5685.0,5456,10613,1425.9,cudaDeviceSynchronize
sudoku_9x9_5.in,0.0,48593,1,48593.0,48593.0,48593,48593,0.0,cuLibraryLoadData
sudoku_9x9_5.in,0.0,40480,13,3113.8,2590.0,2353,8080,1550.4,cudaMemset
sudoku_9x9_5.in,0.0,3773,1,3773.0,3773.0,3773,3773,0.0,cuModuleGetLoadingMode
sudoku_9x9_5.in,0.0,1920,12,160.0,106.0,104,511,131.1,cuKernelGetName
sudoku_9x9_5.in,0.0,376,1,376.0,376.0,376,376,0.0,cuLibraryGetKernel
sudoku_9x9_6.in,100.0,22911,6,3818.5,3711.5,3584,4224,280.3,"void kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_6.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_6.in,0.003,13,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_6.in,0.000,7,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_6.in,99.6,158163278,8,19770409.8,3471.0,2620,158138946,55909331.6,cudaMalloc
sudoku_9x9_6.in,0.1,209890,6,34981.7,4311.0,3644,186514,74244.1,cudaLaunchKernel
