Test File,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
sudoku_9x9_4.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_4.in,0.003,11,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_4.in,0.000,6,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_4.in,99.7,161775250,8,20221906.3,3655.5,2749,161748088,57185213.1,cudaMalloc
sudoku_9x9_4.in,0.1,182921,17,10760.1,8854.0,4081,29400,6764.5,cudaMemcpy
sudoku_9x9_4.in,0.1,120872,8,15109.0,2393.0,1926,101063,34752.2,cudaFree
sudoku_9x9_4.in,0.1,97221,5,19444.2,4165.0,3762,79521,33593.0,cudaLaunchKernel
sudoku_9x9_4.in,0.0,60252,5,12050.4,12515.0,10017,12738,1141.7,cudaDeviceSynchronize
sudoku_9x9_4.in,0.0,43808,1,43808.0,43808.0,43808,43808,0.0,cuLibraryLoadData
sudoku_9x9_4.in,0.0,22634,6,3772.3,2955.5,2486,8045,2135.7,cudaMemset
sudoku_9x9_4.in,0.0,3839,1,3839.0,3839.0,3839,3839,0.0,cuModuleGetLoadingMode
sudoku_9x9_4.in,0.0,1307,5,261.4,120.0,100,773,289.7,cuKernelGetName
sudoku_9x9_4.in,0.0,345,1,345.0,345.0,345,345,0.0,cuLibraryGetKernel
sudoku_9x9_5.in,100.0,83935,8,10491.9,10464.0,10368,10720,112.6,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_5.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_5.in,0.003,17,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_5.in,0.000,9,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_5.in,99.6,163970291,8,20496286.4,3538.5,2633,163943141,57961282.1,cudaMalloc
sudoku_9x9_5.in,0.1,227252,23,9880.5,8653.0,4281,26404,5232.7,cudaMemcpy
sudoku_9x9_5.in,0.1,122095,8,15261.9,2446.0,2031,101833,35004.9,cudaFree
sudoku_9x9_5.in,0.1,106195,8,13274.4,3962.0,3725,77239,25852.2,cudaLaunchKernel
sudoku_9x9_5.in,0.1,104666,8,13083.3,12581.5,10105,19271,2643.4,cudaDeviceSynchronize
sudoku_9x9_5.in,0.0,43492,1,43492.0,43492.0,43492,43492,0.0,cuLibraryLoadData
sudoku_9x9_5.in,0.0,29552,9,3283.6,2722.0,2396,7070,1466.0,cudaMemset
sudoku_9x9_5.in,0.0,3662,1,3662.0,3662.0,3662,3662,0.0,cuModuleGetLoadingMode
sudoku_9x9_5.in,0.0,1457,8,182.1,106.0,106,566,162.5,cuKernelGetName
sudoku_9x9_5.in,0.0,333,1,333.0,333.0,333,333,0.0,cuLibraryGetKernel
sudoku_9x9_6.in,100.0,52896,5,10579.2,10560.0,10400,10784,147.7,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_6.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_6.in,0.003,11,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_6.in,0.000,6,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_6.in,99.7,157914379,8,19739297.4,3754.5,2730,157886812,55820025.4,cudaMalloc
sudoku_9x9_6.in,0.1,184881,17,10875.4,8734.0,4256,26036,6560.5,cudaMemcpy
sudoku_9x9_6.in,0.1,124515,8,15564.4,2545.0,2171,103691,35629.1,cudaFree
sudoku_9x9_6.in,0.1,97142,5,19428.4,4332.0,3750,78915,33263.3,cudaLaunchKernel
sudoku_9x9_6.in,0.0,60490,5,12098.0,12547.0,10380,12633,965.3,cudaDeviceSynchronize
sudoku_9x9_6.in,0.0,47229,1,47229.0,47229.0,47229,47229,0.0,cuLibraryLoadData
sudoku_9x9_6.in,0.0,21812,6,3635.3,2983.5,2524,7111,1746.1,cudaMemset
sudoku_9x9_6.in,0.0,4278,1,4278.0,4278.0,4278,4278,0.0,cuModuleGetLoadingMode
sudoku_9x9_6.in,0.0,1407,5,281.4,120.0,110,836,314.1,cuKernelGetName
sudoku_9x9_6.in,0.0,329,1,329.0,329.0,329,329,0.0,cuLibraryGetKernel
sudoku_9x9_7.in,100.0,63296,6,10549.3,10512.0,10432,10784,122.6,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_7.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_7.in,0.003,13,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_7.in,0.000,7,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_7.in,99.6,162598819,8,20324852.4,3659.5,2710,162571512,57476330.1,cudaMalloc
sudoku_9x9_7.in,0.1,202957,19,10681.9,8738.0,4433,27554,6263.2,cudaMemcpy
sudoku_9x9_7.in,0.1,121195,8,15149.4,2391.5,1939,101176,34784.0,cudaFree
