Test File,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
sudoku_9x9_5.in,100.0,104447,1,104447.0,104447.0,104447,104447,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_5.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_5.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_5.in,0.000,2,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_5.in,99.7,157466002,8,19683250.3,3530.5,2611,157439490,55661926.5,cudaMalloc
sudoku_9x9_5.in,0.1,154732,1,154732.0,154732.0,154732,154732,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_5.in,0.1,114102,8,14262.8,2635.5,1959,91928,31426.8,cudaFree
sudoku_9x9_5.in,0.1,103096,1,103096.0,103096.0,103096,103096,0.0,cudaDeviceSynchronize
sudoku_9x9_5.in,0.1,101654,8,12706.8,11281.5,4249,26549,9237.1,cudaMemcpy
sudoku_9x9_5.in,0.0,10168,2,5084.0,5084.0,2449,7719,3726.5,cudaMemset
sudoku_9x9_5.in,0.0,4085,1,4085.0,4085.0,4085,4085,0.0,cuModuleGetLoadingMode
sudoku_9x9_6.in,100.0,65504,1,65504.0,65504.0,65504,65504,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_6.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_6.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_6.in,0.000,2,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_6.in,99.7,159034852,8,19879356.5,3131.0,2012,159008790,56216780.5,cudaMalloc
sudoku_9x9_6.in,0.1,157697,1,157697.0,157697.0,157697,157697,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_6.in,0.1,124748,8,15593.5,2778.0,2060,103431,35516.3,cudaFree
sudoku_9x9_6.in,0.1,102419,8,12802.4,11276.5,4308,27235,9477.7,cudaMemcpy
sudoku_9x9_6.in,0.0,64394,1,64394.0,64394.0,64394,64394,0.0,cudaDeviceSynchronize
sudoku_9x9_6.in,0.0,11915,2,5957.5,5957.5,4163,7752,2537.8,cudaMemset
sudoku_9x9_6.in,0.0,3795,1,3795.0,3795.0,3795,3795,0.0,cuModuleGetLoadingMode
sudoku_9x9_7.in,100.0,77344,1,77344.0,77344.0,77344,77344,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_7.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_7.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_7.in,0.000,2,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_7.in,99.7,161779031,8,20222378.9,2881.5,2041,161753976,57187401.2,cudaMalloc
sudoku_9x9_7.in,0.1,154433,1,154433.0,154433.0,154433,154433,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_7.in,0.1,118169,8,14771.1,2711.5,1991,96555,33077.7,cudaFree
sudoku_9x9_7.in,0.1,103864,8,12983.0,11372.0,4335,27786,9626.9,cudaMemcpy
sudoku_9x9_7.in,0.0,76265,1,76265.0,76265.0,76265,76265,0.0,cudaDeviceSynchronize
sudoku_9x9_7.in,0.0,12675,2,6337.5,6337.5,4413,8262,2721.7,cudaMemset
sudoku_9x9_7.in,0.0,3957,1,3957.0,3957.0,3957,3957,0.0,cuModuleGetLoadingMode
sudoku_9x9_8.in,100.0,77376,1,77376.0,77376.0,77376,77376,0.0,"kernel(int *, const int *, const int *, const int *, const int *, const int *, int, int *, int *)"
sudoku_9x9_8.in,0.057,6,0.010,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_8.in,0.003,2,0.001,0.001,0.000,0.003,0.002,[CUDA memcpy Device-to-Host]
sudoku_9x9_8.in,0.000,2,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_8.in,99.7,166815931,8,20851991.4,3434.5,2713,166789228,58967548.4,cudaMalloc
sudoku_9x9_8.in,0.1,155728,1,155728.0,155728.0,155728,155728,0.0,cudaLaunchCooperativeKernel
sudoku_9x9_8.in,0.1,126462,8,15807.8,2655.5,2029,105729,36357.5,cudaFree
sudoku_9x9_8.in,0.1,103438,8,12929.8,11386.0,4489,27507,9427.7,cudaMemcpy
sudoku_9x9_8.in,0.0,76142,1,76142.0,76142.0,76142,76142,0.0,cudaDeviceSynchronize
sudoku_9x9_8.in,0.0,9818,2,4909.0,4909.0,2467,7351,3453.5,cudaMemset
sudoku_9x9_8.in,0.0,3568,1,3568.0,3568.0,3568,3568,0.0,cuModuleGetLoadingMode
