Test File,Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Kernel Name
sudoku_9x9_3.in,100.0,77010,1,77010.0,77010.0,77010,77010,0.0,PushPop,:build_reverse_tables
sudoku_9x9_3.in,51.9,28926,8,3615.8,3615.5,3072,4096,314.8,"void deduce_kernel<(int)16>(int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *, int, int *, int *, int *)"
sudoku_9x9_3.in,43.2,24096,7,3442.3,2976.0,2720,6304,1269.8,"update_sums_kernel(const int *, int, const int *, const int *, const int *, const int *, const int *, const int *, const int *, int *, int *, int *)"
sudoku_9x9_3.in,4.9,2752,1,2752.0,2752.0,2752,2752,0.0,"void init_sums_kernel<(int)16>(const int *, const int *, const int *, const int *, int *, int *, int *, int)"
sudoku_9x9_3.in,0.136,12,0.011,0.003,0.003,0.023,0.011,[CUDA memcpy Host-to-Device]
sudoku_9x9_3.in,0.003,17,0.000,0.000,0.000,0.003,0.001,[CUDA memcpy Device-to-Host]
sudoku_9x9_3.in,0.000,9,0.000,0.000,0.000,0.000,0.000,[CUDA memset]
sudoku_9x9_3.in,99.4,161779983,19,8514735.9,2751.0,2117,161718539,37099994.2,cudaMalloc
sudoku_9x9_3.in,0.2,299963,16,18747.7,3944.0,3256,214071,52311.0,cudaLaunchKernel
sudoku_9x9_3.in,0.2,282054,29,9726.0,8744.0,3696,29862,5557.8,cudaMemcpy
sudoku_9x9_3.in,0.1,143430,19,7548.9,2226.0,1692,98297,22006.7,cudaFree
sudoku_9x9_3.in,0.1,97440,16,6090.0,5899.5,4912,11056,1585.8,cudaDeviceSynchronize
sudoku_9x9_3.in,0.0,70884,1,70884.0,70884.0,70884,70884,0.0,cuLibraryLoadData
sudoku_9x9_3.in,0.0,31655,9,3517.2,2705.0,2500,7871,1829.1,cudaMemset
sudoku_9x9_3.in,0.0,3964,1,3964.0,3964.0,3964,3964,0.0,cuModuleGetLoadingMode
sudoku_9x9_3.in,0.0,2551,16,159.4,120.0,103,579,123.8,cuKernelGetName
sudoku_9x9_3.in,0.0,941,3,313.7,352.0,214,375,87.1,cuLibraryGetKernel
sudoku_9x9_4.in,100.0,77656,1,77656.0,77656.0,77656,77656,0.0,PushPop,:build_reverse_tables
